moyenAge;Population total;Population résidante permanente;Suisse;Homme;Femme;Titulaire d'une autorisation de séjour (B);Titulaire d'une autorisation d'établissement (C);Titulaire d'une autorisation de séjour avec activité lucrative (Ci);Personne admise à titre provisoire (F);Titulaire d'une autorisation de séjour de courte durée (L);Requérant d'asile (N);Diplomate, fonctionnaire international avec immunité diplomatique;Fonctionnaire international sans immunité diplomatique;Pas attribué;Population résidante non permanente;Id;Canton;Année
42.51466607825831;203940;195886;160497;102652;101288;15220;16659;0;573;10543;440;0;0;8;8054;122;Graubünden / Grigioni / Grischun;2014
40.97090058005335;651147;645277;491344;327569;323578;38178;111770;2;1757;6587;1402;4;16;87;5870;123;Aargau;2014
40.80663076911507;265942;263733;200849;133995;131947;17285;44111;0;517;2567;607;0;0;6;2209;124;Thurgau;2014
43.82121511827268;352871;350363;253633;172109;180762;33930;60937;0;854;2244;967;38;0;268;2508;125;Ticino;2014
39.71363455073785;772244;761446;509124;378940;393304;95745;147560;126;3092;6718;2070;680;2232;4897;10798;126;Vaud;2014
41.355018390466384;339850;331763;256485;169406;170444;27022;42362;0;1092;11884;885;0;8;112;8087;127;Valais / Wallis;2014
40.99316749696675;178851;177327;132575;87416;91435;13709;29837;0;525;1262;491;6;12;434;1524;128;Neuchâtel;2014
40.21962041224136;481417;477385;281897;232852;248565;58707;109713;691;1911;4378;1188;7506;15426;0;4032;129;Genève;2014
41.83839951650344;72803;72410;62284;35983;36820;2922;6780;1;208;351;223;0;6;28;393;130;Jura;2014
40.817419949500746;1482002;1466424;1083372;738381;743621;144400;227745;14;6134;14521;4960;206;11;639;15578;131;Zürich;2015
42.73009243156294;1026381;1017483;860017;504138;522243;47359;98181;67;5000;7840;4902;2097;327;591;8898;132;Bern / Berne;2015
40.698830525469326;402916;398762;327503;201087;201829;23272;44647;0;1909;3297;1801;1;0;486;4154;133;Luzern;2015
42.18529034371673;36629;35973;31840;18836;17793;1777;1967;0;92;764;179;0;0;10;656;134;Uri;2015
41.38911210094605;155806;154093;122921;79966;75840;8722;20965;0;642;1878;669;0;1;8;1713;135;Schwyz;2015
41.30741531074953;37490;37076;31716;19079;18411;2438;2641;0;133;373;186;0;0;3;414;136;Obwalden;2015
42.68041405738854;42796;42420;36514;22010;20786;2456;3105;0;148;407;165;0;1;0;376;137;Nidwalden;2015
42.24958665449251;40523;40028;30721;20678;19845;2758;5994;0;166;657;223;0;0;4;495;138;Glarus;2015
41.057678652120586;123928;122134;89157;63074;60854;12743;19321;0;454;1837;413;2;0;1;1794;139;Zug;2015
39.22228461518602;309864;307461;240182;155383;154481;23046;42006;8;1048;2272;1132;22;52;96;2403;140;Fribourg / Freiburg;2015
42.410726227096426;269172;266418;209355;134381;134791;12565;42373;2;1124;2326;1284;0;25;118;2754;141;Solothurn;2015
43.02386429424091;195187;191817;124365;94684;100503;24283;40802;30;676;3686;724;11;609;1;3370;142;Basel-Stadt;2015
43.443280340482865;285007;283231;221489;140024;144983;16197;43124;27;1267;1483;801;2;357;260;1776;143;Basel-Landschaft;2015
43.095991014342495;81018;79836;59664;40297;40721;5699;13963;0;286;1007;377;0;0;22;1182;144;Schaffhausen;2015
42.162781372459676;54865;54543;45985;27727;27138;2214;6009;0;206;227;222;0;0;2;322;145;Appenzell Ausserrhoden;2015
